City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Lebu,CL,2022-05-07 23:59:04,-37.6167,-73.65,53.33,91,6,4.25
130,Bambanglipuro,ID,2022-05-08 00:04:07,-7.95,110.2833,79.36,87,90,3.13
131,Three Hills,CA,2022-05-08 00:00:26,51.7001,-113.2686,50.72,51,96,6.24
132,Jamestown,US,2022-05-08 00:05:08,42.097,-79.2353,55.04,40,0,12.66
133,Tezu,IN,2022-05-08 00:05:08,27.9167,96.1667,73.02,78,34,3.29
134,Portland,US,2022-05-08 00:03:40,45.5234,-122.6762,55.8,65,100,16.11
135,Frederico Westphalen,BR,2022-05-08 00:05:09,-27.3592,-53.3944,59.45,89,61,3.02
136,Sioux Lookout,CA,2022-05-08 00:00:20,50.1001,-91.917,61.34,58,68,12.68
137,Tiksi,RU,2022-05-07 23:57:53,71.6872,128.8694,15.15,85,19,5.91
138,Mareeba,AU,2022-05-08 00:05:10,-17.0,145.4333,79.45,83,100,6.96
139,Nizhnevartovsk,RU,2022-05-08 00:05:11,60.9344,76.5531,21.22,100,0,4.47
140,Smithers,CA,2022-05-08 00:00:21,54.7804,-127.1743,50.76,43,100,5.93
141,Paciran,ID,2022-05-08 00:05:12,-6.8767,112.3761,80.49,85,89,5.93
142,Dikson,RU,2022-05-07 23:56:18,73.5069,80.5464,5.65,97,91,10.36
143,Pringsewu,ID,2022-05-08 00:05:13,-5.3582,104.9744,74.37,97,100,1.77
144,Fare,PF,2022-05-08 00:05:14,-16.7,-151.0167,81.52,74,8,5.17
145,San Cristobal,VE,2022-05-07 23:59:15,7.7669,-72.225,75.38,97,83,3.58
146,East London,ZA,2022-05-08 00:05:14,-33.0153,27.9116,61.79,90,100,14.32
147,Esmeraldas,BR,2022-05-08 00:05:15,-19.7625,-44.3139,65.43,86,4,4.23
148,Necochea,AR,2022-05-08 00:00:44,-38.5473,-58.7368,60.64,77,25,12.41
149,Vung Tau,VN,2022-05-08 00:00:21,10.346,107.0843,83.5,77,99,20.2
150,Ancud,CL,2022-05-08 00:03:14,-41.8697,-73.8203,56.71,88,100,16.93
151,Fairbanks,US,2022-05-07 23:58:06,64.8378,-147.7164,50.34,74,100,14.97
152,Santa Catalina,PH,2022-05-08 00:05:17,9.3337,122.8637,84.69,72,80,12.93
153,Mvomero,TZ,2022-05-08 00:05:17,-6.25,38.6667,70.12,97,92,4.38
154,Abu Dhabi,AE,2022-05-08 00:05:18,24.4667,54.3667,86.97,36,0,2.3
155,Erzin,TR,2022-05-08 00:05:18,36.9559,36.2,55.71,79,8,3.22
156,Lianran,CN,2022-05-08 00:05:19,24.9227,102.485,64.18,70,32,2.3
157,Mugumu,TZ,2022-05-08 00:05:20,-1.85,34.7,58.91,95,89,3.56
158,Cap Malheureux,MU,2022-05-08 00:05:20,-19.9842,57.6142,76.46,73,5,5.01
159,Hasaki,JP,2022-05-08 00:05:21,35.7333,140.8333,66.6,60,53,22.39
160,Khatanga,RU,2022-05-08 00:05:22,71.9667,102.5,6.64,96,96,9.55
161,Geraldton,AU,2022-05-08 00:05:22,-28.7667,114.6,57.61,77,9,6.91
162,Bereda,ES,2022-05-08 00:05:23,43.2686,-7.5406,53.58,98,96,2.68
163,Amapa,BR,2022-05-08 00:05:24,1.0,-52.0,73.08,99,98,1.99
164,Carnarvon,AU,2022-05-08 00:05:24,-24.8667,113.6333,68.07,73,75,5.75
165,Yevlax,AZ,2022-05-08 00:05:25,40.6089,47.1492,56.95,89,100,4.59
166,Meadow Lake,US,2022-05-07 23:56:26,34.8014,-106.5436,88.95,7,27,26.31
167,Socorro,US,2022-05-08 00:04:24,31.6546,-106.3033,94.21,4,0,21.85
168,Moberly,US,2022-05-08 00:05:26,39.4184,-92.4382,69.93,35,0,10.36
169,Daru,PG,2022-05-08 00:02:50,-9.0763,143.2092,82.24,88,94,12.68
170,Jeremoabo,BR,2022-05-08 00:05:27,-10.075,-38.4808,68.61,84,62,5.35
171,Khandyga,RU,2022-05-08 00:05:27,62.6667,135.6,36.91,76,100,5.41
172,Mbuji-Mayi,CD,2022-05-08 00:05:28,-6.15,23.6,73.36,80,90,1.97
173,Mar Del Plata,AR,2022-05-08 00:05:28,-38.0023,-57.5575,63.95,79,0,12.66
174,Flin Flon,CA,2022-05-07 23:58:59,54.7682,-101.865,55.24,62,100,3.44
175,Bandarbeyla,SO,2022-05-08 00:05:29,9.4942,50.8122,82.11,86,61,10.36
176,Mahibadhoo,MV,2022-05-08 00:05:30,3.7833,72.9667,84.22,76,99,12.97
177,Guerrero Negro,MX,2022-05-08 00:06:30,27.9769,-114.0611,65.71,72,8,19.19
178,Bad Hofgastein,AT,2022-05-08 00:06:31,47.1667,13.1,52.14,98,100,1.12
179,Klobuck,PL,2022-05-08 00:06:31,50.9008,18.9367,43.45,63,86,3.36
180,Naliya,IN,2022-05-08 00:06:32,23.2667,68.8333,79.61,81,0,12.35
181,San Luis,AR,2022-05-08 00:01:43,-33.295,-66.3356,59.32,62,85,7.43
182,Abu Zabad,SD,2022-05-08 00:06:33,12.35,29.25,81.27,10,16,10.29
183,Balkhash,KZ,2022-05-08 00:06:33,46.844,74.9804,50.34,50,32,28.81
184,Ozubulu,NG,2022-05-08 00:06:34,5.9567,6.849,75.18,95,86,1.99
185,Prince Rupert,CA,2022-05-08 00:06:12,54.3161,-130.3201,46.38,69,99,5.79
186,Christchurch,NZ,2022-05-08 00:06:20,-43.5333,172.6333,66.42,77,20,4.61
187,Navrongo,GH,2022-05-08 00:06:35,10.8956,-1.0921,84.51,54,93,4.9
188,Zabaykalsk,RU,2022-05-08 00:06:36,49.6333,117.3167,53.69,32,2,7.2
189,Hithadhoo,MV,2022-05-07 23:59:02,-0.6,73.0833,83.57,77,20,15.35
190,Baruun-Urt,MN,2022-05-08 00:06:36,46.6806,113.2792,46.29,31,0,3.06
191,Pemba,MZ,2022-05-08 00:06:37,-12.974,40.5178,73.8,88,23,11.27
192,Cherskiy,RU,2022-05-08 00:06:38,68.75,161.3,29.97,95,100,10.63
193,Narsaq,GL,2022-05-08 00:06:38,60.9167,-46.05,48.42,62,100,7.85
194,Vila Franca Do Campo,PT,2022-05-08 00:06:39,37.7167,-25.4333,67.19,93,95,0.31
195,Klaksvik,FO,2022-05-08 00:06:40,62.2266,-6.589,41.92,82,100,11.68
196,Mokhsogollokh,RU,2022-05-08 00:06:40,61.4681,128.9203,46.04,71,100,8.37
197,Conceicao Da Barra,BR,2022-05-08 00:06:41,-18.5933,-39.7322,72.61,81,42,7.0
198,Stromness,GB,2022-05-08 00:02:38,58.965,-3.296,44.87,86,98,10.0
199,Cosenza,IT,2022-05-08 00:06:41,39.31,16.2502,59.92,83,2,4.88
200,Cabo San Lucas,MX,2022-05-08 00:06:42,22.8909,-109.9124,88.11,30,0,9.22
201,Esperance,AU,2022-05-08 00:06:42,-33.8667,121.9,58.26,48,92,17.2
202,Bolshoye Selo,RU,2022-05-08 00:06:43,57.7177,38.9334,47.43,79,87,7.63
203,Cockburn Town,TC,2022-05-08 00:06:44,21.4612,-71.1419,78.98,78,57,7.49
204,Tadine,NC,2022-05-08 00:06:44,-21.55,167.8833,75.9,58,64,14.76
205,Tolaga Bay,NZ,2022-05-08 00:06:45,-38.3667,178.3,63.3,61,96,8.86
