City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Cururupu,BR,-1.8283,-44.8683,78.96,93,98,2.75,overcast clouds
212,Ipixuna,BR,-1.7625,-48.8043,80.2,93,97,4.63,overcast clouds
213,Broome,US,42.2506,-75.833,63.7,29,11,10.0,few clouds
214,Liverpool,GB,53.4106,-2.9779,67.28,64,20,11.5,few clouds
215,Ahuimanu,US,21.4447,-157.8378,76.35,76,75,12.66,broken clouds
216,Quebec,CA,46.8123,-71.2145,60.22,22,20,10.36,few clouds
217,Denpasar,ID,-8.65,115.2167,82.06,88,40,1.14,scattered clouds
218,Mandalgovi,MN,45.7625,106.2708,58.89,21,100,15.05,overcast clouds
219,Zhezkazgan,KZ,47.8043,67.7144,58.89,26,84,17.65,broken clouds
220,Cape Town,ZA,-33.9258,18.4232,61.27,73,50,1.01,scattered clouds
221,Kismayo,SO,-0.3582,42.5454,81.01,82,89,14.45,light rain
222,Kaohsiung,TW,22.6163,120.3133,80.04,85,75,3.44,broken clouds
223,Puri,IN,19.8,85.85,82.92,83,86,13.67,overcast clouds
224,Martapura,ID,-3.4167,114.85,75.29,100,100,2.3,overcast clouds
225,Kjollefjord,NO,70.9457,27.3465,33.85,74,98,8.32,overcast clouds
226,Ostrovnoy,RU,68.0531,39.5131,32.36,75,52,13.31,broken clouds
227,Rabo De Peixe,PT,37.8,-25.5833,67.51,68,40,9.22,scattered clouds
228,Bumba,CD,2.1833,22.4667,76.6,75,80,4.27,broken clouds
229,Katsuura,JP,35.1333,140.3,60.3,65,100,9.57,overcast clouds
230,Bantou,CN,26.2151,117.4893,68.7,98,100,2.26,overcast clouds
231,Harper,LR,4.375,-7.7169,77.27,90,100,4.92,heavy intensity rain
232,Mount Isa,AU,-20.7333,139.5,67.77,60,16,5.75,few clouds
233,Coffs Harbour,AU,-30.3,153.1333,58.96,67,75,9.22,broken clouds
234,Mackay,AU,-21.15,149.2,69.67,87,100,14.65,light rain
235,Road Town,VG,18.4167,-64.6167,84.24,74,40,11.5,scattered clouds
236,Perth,AU,-31.9333,115.8333,60.67,91,0,0.0,clear sky
237,Ossora,RU,59.2353,163.0719,31.21,89,100,3.6,overcast clouds
238,Talnakh,RU,69.4865,88.3972,3.0,98,31,2.64,scattered clouds
239,Monrovia,LR,6.3005,-10.7969,77.56,89,100,9.46,light rain
240,Pfullendorf,DE,47.9167,9.25,61.32,75,49,8.3,scattered clouds
241,Bonavista,CA,48.6499,-53.1147,34.93,67,3,12.82,clear sky
242,Berlevag,NO,70.8578,29.0864,31.8,78,92,7.18,overcast clouds
243,Tiznit,MA,29.5833,-9.5,88.2,12,21,8.21,few clouds
244,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,10.36,few clouds
245,Alikalia,SL,9.1667,-11.4,81.91,66,99,4.59,overcast clouds
246,Desbiens,CA,48.4178,-71.9495,52.45,63,18,2.44,few clouds
247,Sayaxche,GT,16.5167,-90.1667,97.27,40,22,4.65,few clouds
248,Rzhev,RU,56.2624,34.3282,45.86,83,100,5.41,overcast clouds
249,Dombarovskiy,RU,50.7587,59.5386,52.39,38,65,13.51,broken clouds
250,Gilgit,PK,35.9221,74.3087,75.81,28,2,2.89,clear sky
251,Praya,CV,14.9215,-23.5087,77.54,61,20,21.85,few clouds
252,Iqaluit,CA,63.7506,-68.5145,28.13,68,20,4.61,few clouds
253,Saldanha,ZA,-33.0117,17.9442,57.25,78,21,7.9,few clouds
254,Kasongo-Lunda,CD,-6.4667,16.8167,78.67,72,52,3.38,broken clouds
255,Ocos,GT,14.5094,-92.1933,91.58,68,74,7.31,broken clouds
256,Bukama,CD,-9.2,25.85,75.76,64,67,2.53,broken clouds
257,Olafsvik,IS,64.8945,-23.7142,45.72,89,99,14.27,overcast clouds
258,Aklavik,CA,68.2191,-135.0107,41.0,65,20,6.91,few clouds
259,Guerrero Negro,MX,27.9769,-114.0611,64.89,63,9,16.26,clear sky
260,Cabo San Lucas,MX,22.8909,-109.9124,94.3,30,20,8.05,few clouds
261,Sangar,RU,63.9242,127.4739,33.48,98,100,8.25,light snow
262,Fort Walton Beach,US,30.4058,-86.6188,84.67,56,0,9.22,clear sky
263,Andra,RU,62.5147,65.8878,46.22,77,41,5.77,scattered clouds
264,Geraldton,AU,-28.7667,114.6,59.41,88,0,5.75,clear sky
265,Kouango,CF,4.9934,19.9619,83.17,61,100,5.01,overcast clouds
266,Chulman,RU,56.8479,124.9104,33.64,94,100,5.12,overcast clouds
267,Anshun,CN,26.25,105.9333,62.04,98,99,6.13,overcast clouds
268,Marawi,PH,7.9986,124.2928,70.83,95,100,1.3,light rain
269,Inta,RU,66.0317,60.1659,46.87,78,81,15.68,broken clouds
270,Porto Velho,BR,-8.7619,-63.9039,89.65,58,40,4.61,scattered clouds
271,Luwuk,ID,-0.9516,122.7875,78.17,89,93,5.21,overcast clouds
272,Cayenne,GF,4.9333,-52.3333,86.04,1,75,12.66,broken clouds
273,Pundaguitan,PH,6.3711,126.1689,78.26,93,100,6.51,moderate rain
274,Kruisfontein,ZA,-34.0033,24.7314,55.89,68,41,1.68,scattered clouds
275,Lazaro Cardenas,MX,17.9583,-102.2,84.13,52,14,8.81,few clouds
276,Chiredzi,ZW,-21.05,31.6667,76.71,40,49,6.02,scattered clouds
277,Auki,SB,-8.7676,160.7034,78.24,88,71,4.47,broken clouds
278,Solnechnyy,RU,50.7214,136.6319,38.71,73,71,10.67,broken clouds
279,Dolores,AR,-36.3132,-57.6792,73.09,53,2,15.28,clear sky
280,Gombong,ID,-7.6072,109.5142,77.79,91,100,1.48,overcast clouds
281,Havoysund,NO,70.9963,24.6622,34.03,70,100,17.22,light snow
282,Linhares,BR,-19.3911,-40.0722,79.41,61,63,11.27,broken clouds
283,Turukhansk,RU,65.8167,87.9833,9.52,96,69,4.41,broken clouds
284,Tshela,CD,-4.9833,12.9333,76.48,93,61,1.88,moderate rain
285,Awbari,LY,26.5921,12.7805,82.85,11,0,11.23,clear sky
286,Ryazanskaya,RU,44.9553,39.5889,58.66,75,77,4.83,broken clouds
287,Kurilsk,RU,45.2333,147.8833,36.64,88,32,8.7,scattered clouds
288,Naron,ES,43.5167,-8.1528,79.56,45,46,12.97,scattered clouds
289,Pevek,RU,69.7008,170.3133,24.46,96,100,11.14,light snow
290,Shingu,JP,33.7333,135.9833,58.01,66,74,5.01,broken clouds
291,Jumla,NP,29.2747,82.1838,52.59,86,41,1.45,scattered clouds
292,Bethel,US,41.3712,-73.414,59.63,47,0,10.36,clear sky
293,Saint-Francois,FR,46.4154,3.9054,72.84,35,0,10.36,clear sky
294,Georgetown,MY,5.4112,100.3354,83.95,92,20,2.3,few clouds
295,Ottawa,CA,45.4112,-75.6981,63.72,27,20,9.22,few clouds
296,Avdon,RU,54.6667,55.7167,56.52,26,0,0.0,clear sky
297,Wladyslawowo,PL,54.7909,18.4009,52.93,70,61,13.56,broken clouds
298,Saint George,US,37.1041,-113.5841,76.42,12,0,5.75,clear sky
299,Maceio,BR,-9.6658,-35.7353,83.64,65,75,11.5,broken clouds
300,Morehead,US,37.2711,-87.1764,67.95,60,75,4.61,broken clouds
301,Abbeville,FR,50.1,1.8333,62.56,75,99,10.8,overcast clouds
302,Borogontsy,RU,62.6683,131.1683,36.14,91,98,8.19,overcast clouds
303,Sistranda,NO,63.7256,8.834,44.56,64,99,12.97,overcast clouds
304,Alugan,PH,12.2188,125.4808,80.91,72,51,11.1,broken clouds
305,Tilichiki,RU,60.4667,166.1,24.82,90,97,3.87,overcast clouds
306,Nata,PA,8.3333,-80.5167,90.21,57,20,4.97,few clouds
307,Pitimbu,BR,-7.4706,-34.8086,86.59,67,83,14.03,broken clouds
308,Verkhoyansk,RU,67.5447,133.385,22.66,97,100,3.04,overcast clouds
309,Kutum,SD,14.2,24.6667,86.85,7,1,5.95,clear sky
310,Surt,LY,31.2089,16.5887,67.59,69,4,14.05,clear sky
311,Dubovskoye,RU,47.4092,42.7575,53.55,43,80,9.44,broken clouds
312,Bara,NG,10.3744,10.7288,100.72,24,100,7.92,overcast clouds
313,Laguna De Perlas,NI,12.3429,-83.6712,87.89,65,100,6.06,overcast clouds
314,Hornepayne,CA,49.2138,-84.7705,64.81,19,85,13.09,overcast clouds
315,Hay River,CA,60.8156,-115.7999,33.78,93,100,14.97,light rain
316,Kavieng,PG,-2.5744,150.7967,83.25,73,97,18.05,overcast clouds
317,Homer,US,59.6425,-151.5483,42.69,73,0,13.0,clear sky
318,Banyo,CM,6.75,11.8167,77.04,65,86,2.59,overcast clouds
319,Port-Cartier,CA,50.0334,-66.8654,46.62,63,72,6.51,broken clouds
320,Catamarca,AR,-28.4696,-65.7852,71.78,52,100,3.0,overcast clouds
321,Umba,RU,66.6871,34.3429,36.34,71,79,5.39,broken clouds
322,Tornio,FI,65.8481,24.1466,41.02,61,83,7.4,broken clouds
323,Korla,CN,41.7597,86.1469,69.35,41,0,15.57,clear sky
324,Bharatpur,IN,27.2167,77.4833,94.15,12,0,7.58,clear sky
325,Klaksvik,FO,62.2266,-6.589,49.12,95,100,20.98,overcast clouds
326,Karratha,AU,-20.7377,116.8463,77.36,57,86,5.75,overcast clouds
327,Ashland,US,40.8167,-82.2665,62.96,49,3,10.74,clear sky
328,Itacarambi,BR,-15.1022,-44.0919,89.46,34,86,6.58,overcast clouds
329,Yumen,CN,40.2833,97.2,66.69,20,86,10.16,overcast clouds
330,Lensk,RU,60.7253,114.9278,32.07,84,52,11.74,broken clouds
331,Belle Glade,US,26.6845,-80.6676,88.02,52,7,6.64,clear sky
332,Polson,US,47.6936,-114.1632,44.22,53,42,13.0,scattered clouds
333,Baculin,PH,7.4525,126.5842,77.88,91,100,4.45,very heavy rain
334,Saint Anthony,US,45.0205,-93.218,57.78,76,100,17.27,light intensity drizzle
335,Mareeba,AU,-17.0,145.4333,70.52,93,75,4.63,broken clouds
336,Byron Bay,AU,-28.65,153.6167,59.94,74,100,12.26,overcast clouds
337,Rumford,US,44.5537,-70.5509,62.29,31,96,6.62,overcast clouds
338,Souillac,MU,-20.5167,57.5167,75.58,83,40,5.75,scattered clouds
339,San Luis,AR,-33.295,-66.3356,75.13,34,98,6.73,overcast clouds
340,Royan,FR,45.6285,-1.0281,75.81,69,100,11.9,overcast clouds
341,Bontang,ID,0.1333,117.5,79.11,89,96,5.12,light rain
342,Doha,QA,25.2867,51.5333,85.98,29,0,20.71,clear sky
343,Paamiut,GL,61.994,-49.6678,33.4,85,100,16.37,overcast clouds
344,Hualmay,PE,-11.0964,-77.6139,70.5,74,43,11.68,scattered clouds
345,Pravda,RU,46.9396,142.009,40.12,85,99,14.94,overcast clouds
346,Dunedin,NZ,-45.8742,170.5036,52.81,92,100,1.39,overcast clouds
